ticker,market_factor,SMB,HML
ABEV3,0.17711888,0.13673292,-0.00094852253
BBAS3,0.6053849,0.4045264,-0.37932438
BBSE3,0.2079402,0.8428795,0.07409904
BEEF3,-0.3783884,0.75712836,0.32319742
BRAP3,0.5133661,0.30560967,-0.2008559
BRAP4,0.23559085,0.35932454,-0.45864123
BRFS3,-0.00724266,0.20988615,0.022592427
BRML3,0.53363425,0.30284035,-0.27642295
BRPR3,-0.09176716,0.36196864,0.22444767
CCRO3,0.21897301,0.07265599,0.41912484
CIEL3,0.48131377,-0.18353394,0.10594268
CSNA3,0.73202544,0.51776075,-1.1630559
CYRE3,-0.14238903,0.59724164,0.13706349
ECOR3,-0.059733823,0.24319051,0.3733563
ENBR3,-0.034355115,0.17644481,-0.03756404
IGTA3,0.29439753,0.39713156,-0.111297846
ITUB3,0.294904,0.18975003,-0.06450299
ITUB4,0.33414695,0.16328098,-0.2208002
JBSS3,0.16721037,0.3948881,-0.4898417
MRFG3,-0.36123988,0.42936763,0.76098263
MRVE3,0.36701855,0.632473,-0.1658973
MULT3,-0.09782075,0.3711588,0.118152335
NATU3,0.5888762,0.056065205,-0.049835134
ODPV3,0.07733807,0.17732906,0.21118568
OIBR3,0.7871708,-0.10669265,-0.2638132
OIBR4,0.5711403,0.16658655,-0.65497226
PCAR4,0.22811268,0.20154622,-0.11207638
QUAL3,0.46828264,0.0646196,-0.01586737
RENT3,0.113260776,0.5024621,-0.0016195094
TOTS3,0.03475676,0.26253968,0.25466585
UGPA3,0.033659,-0.0008187864,-0.041611843
USIM3,0.60861146,0.36281273,-0.5957457
USIM5,-0.26043028,0.80292267,-1.1567358
VALE3,0.42306533,0.23719616,-0.26478013
VIVT3,0.178198,-0.012792381,0.03878505
VIVT4,0.18380868,-0.038938142,-0.1752888
VLID3,0.17605314,0.09872499,0.5682091
